#{"t_start": 1727522183.255062, "env_id": "BipedalWalker-v3"}
r,l,t
-51.320505,1600,258.907749
-56.344424,1600,259.642438
-57.576089,1600,260.358167
-54.621216,1600,261.098986
-95.707968,263,261.181965
-99.635276,336,261.287849
-95.290791,275,261.371178
-55.878306,1600,262.123217
-87.875114,438,262.253271
-96.223634,275,262.331598
-100.500117,811,262.829277
-36.368876,1600,263.29827
-94.93977,265,263.380807
-64.492778,1600,264.139351
-77.963222,1600,264.916445
-109.095979,1251,265.543839
-71.275728,1600,265.9953
-94.307951,264,266.325715
-22.927662,1600,266.794612
-38.678124,1600,267.514528
-97.343556,276,267.59388
-101.417967,333,267.687002
-91.551802,895,268.207978
-96.918917,280,268.290682
-71.370042,1600,268.985622
-94.675094,262,269.067813
-43.439618,1600,269.776232
-46.6752,1600,270.219774
-107.366073,1553,270.923034
-74.572025,1600,271.631432
-94.605555,238,271.69975
-98.931983,302,271.785212
-97.807972,282,271.863609
-92.827424,227,271.926051
-65.088445,1600,272.651064
-28.391015,1600,273.369729
-96.797503,291,273.45057
-38.549194,1600,274.158662
-73.364986,1600,274.859848
-63.285023,1600,275.571231
-62.460472,1600,276.036545
-59.044133,1600,276.765218
-93.675398,219,276.827307
-91.788867,1217,277.441302
-97.177235,324,277.538682
-64.149237,1600,278.233956
-64.964792,1600,278.675705
-91.525046,604,279.112772
-41.610874,1600,279.821789
-93.683829,239,279.896502
-114.826422,1600,280.377956
-87.109755,1600,281.0987
-94.781171,265,281.172562
-71.398993,1600,281.887974
-98.854355,316,281.976115
-98.753699,306,282.059628
-42.790654,1600,282.772174
-60.313579,1600,283.495865
-88.640556,402,283.607808
-83.483365,1600,284.311341
-94.771434,259,284.38616
-55.136743,1600,285.087572
-62.167438,1600,285.794587
-99.108085,298,285.887594
-63.211385,1600,286.58459
-88.706785,1600,287.030894
-71.878189,1600,287.73638
-62.760868,1600,288.456769
-87.226735,404,288.572883
-95.023431,271,288.649589
-34.682172,1600,289.372991
-88.249624,1600,290.093903
-50.165092,1600,290.840547
-57.821069,1600,291.288291
-93.252908,239,291.623414
-53.496535,1600,292.076062
-51.44944,1600,292.824782
-66.93092,1600,293.545335
-80.264857,1600,294.259112
-96.447333,287,294.346236
-140.02591,830,294.581365
-44.7672,1600,295.343258
-34.116478,1600,296.105253
-103.657667,395,296.225502
-54.363435,1600,296.988673
-57.504338,1600,297.753947
-49.318077,1600,298.244742
-112.298444,598,298.679174
-94.192275,681,298.886553
-93.494938,236,298.95771
-94.675197,267,299.039713
-57.670947,1600,299.808162
-69.045387,1600,300.544354
-99.524442,331,300.65535
-54.857535,1600,301.397365
-101.242682,317,301.501291
-60.652695,1600,302.25331
-55.380933,1600,302.768007
-63.439989,1600,303.539714
-72.265229,1600,304.298662
-94.80109,246,304.373995
-52.348884,1600,305.109301
-53.277387,1600,305.85278
-57.122034,1600,306.356946
-97.469241,305,306.700609
-97.987432,305,306.800266
-95.750955,535,306.972925
-105.124312,410,307.09516
-95.853753,269,307.171882
-120.188649,707,307.631965
-58.165116,1600,308.139388
-56.68349,1600,308.917888
-43.406619,1600,309.677713
-95.035878,267,309.759018
-38.85527,1600,310.500531
-54.908014,1600,311.259963
-94.086115,249,311.349421
-99.224555,330,311.459051
-40.438812,1600,312.212028
-130.90787,393,312.357292
-88.216693,1600,313.155831
-120.600538,186,313.22355
-74.005337,1600,313.989357
-101.462127,368,314.121482
-91.762252,1600,314.882887
-100.204976,322,315.00153
-41.856451,1600,315.783902
-95.718093,293,315.886496
-72.053424,1600,316.383585
-93.362335,278,316.736584
