#{"t_start": 1727524353.952538, "env_id": "BipedalWalker-v3"}
r,l,t
-37.234453,1600,508.885339
-27.63073,1600,509.861296
-25.824682,1600,510.812329
-22.479528,1600,511.481732
-29.662146,1600,512.459915
-32.635507,1600,513.421361
-36.623344,1600,514.311327
-106.158061,801,514.655445
-36.108197,1600,515.587326
-39.271883,1600,516.480426
-24.754745,1600,517.132239
-100.135379,274,517.538036
-30.430204,1600,518.204587
-30.233645,1600,519.206422
-24.650914,1600,520.159924
-29.724825,1600,521.091511
-23.722457,1600,521.727826
-24.259509,1600,522.714386
-24.994225,1600,523.681933
-24.292965,1600,524.64309
-19.526378,1600,525.564154
-28.972591,1600,526.256994
-25.829065,1600,527.275965
-25.618006,1600,528.257482
-40.63656,1600,529.184081
-27.530331,1600,529.821159
-21.079866,1600,530.82432
-17.301822,1600,531.801016
-23.194468,1600,532.776513
-18.830545,1600,533.711467
-31.466824,1600,534.361122
-30.441353,1600,535.335626
-26.402407,1600,536.30633
-19.34211,1600,537.260973
-26.151977,1600,538.192172
-19.435032,1600,538.858184
-48.463784,1600,539.790361
-26.999565,1600,540.750062
-16.942602,1600,541.680666
-37.482473,1600,542.323648
-24.468588,1600,543.336792
-27.919855,1600,544.3108
-45.821288,1600,545.231262
-99.649565,156,545.297908
-43.612726,1600,546.199124
-44.624268,1600,546.812607
-43.37711,1600,547.756767
-22.489715,1600,548.73375
-55.140935,1600,549.632218
-36.601231,1600,550.527108
-19.395344,1600,551.193064
-36.920486,1600,552.124683
-19.064478,1600,553.102759
-27.594866,1600,554.021195
-24.596289,1600,554.651769
-18.911378,1600,555.656786
-96.711439,122,555.699138
-27.663494,1600,556.662268
-42.078572,1600,557.57139
-28.924081,1600,558.592549
-91.32615,206,558.692349
-33.846408,1600,559.325274
-22.095254,1600,560.313383
-21.32154,1600,561.316177
-52.051309,1600,562.226722
-35.536193,1600,563.170398
-24.43254,1600,563.821452
-22.389191,1600,564.800459
-28.683146,1600,565.761927
-22.076517,1600,566.711518
-29.575559,1600,567.653662
-39.930961,1600,568.274499
-35.019326,1600,569.303677
-24.410076,1600,570.276463
-19.050522,1600,571.211452
-25.465364,1600,571.865638
-20.625088,1600,572.875583
-21.580507,1600,573.857096
-23.394945,1600,574.870905
-20.941163,1600,575.82817
-22.506821,1600,576.493485
-19.684347,1600,577.472111
-28.293955,1600,578.449813
-20.241994,1600,579.391122
-15.484522,1600,580.017244
-19.763417,1600,580.997147
-27.985603,1600,581.972048
-25.27,1600,582.919355
-21.307247,1600,583.867977
-23.789646,1600,584.535694
-22.652297,1600,585.527231
-27.542588,1600,586.505925
-20.191861,1600,587.479596
-19.532984,1600,588.129328
-16.788551,1600,589.159202
-21.28946,1600,590.179263
-16.43461,1600,591.175056
-15.699727,1600,592.137373
-95.418775,100,592.185932
-55.417858,1600,592.789863
-12.024619,1600,593.818139
-14.499543,1600,594.838206
-16.849286,1600,595.8031
-13.680084,1600,596.754965
-15.164771,1600,597.448672
-27.561635,1600,598.406436
-17.967461,1600,599.406991
-93.227883,121,599.454648
-17.786612,1600,600.421235
-15.31318,1600,601.361844
-25.194667,1600,602.008374
-16.613833,1600,603.028323
-19.657904,1600,604.003584
-15.006638,1600,604.964607
-45.836954,1600,605.621625
-12.727069,1600,606.71603
-14.689635,1600,607.748235
-14.5785,1600,608.752138
-11.149331,1600,609.714612
-11.167797,1600,610.397181
-31.779632,1600,611.362277
-15.080552,1600,612.377191
-13.029723,1600,613.33966
-28.998373,1600,613.940423
-15.395865,1600,614.966697
-15.653143,1600,615.947763
-49.15547,1600,616.87581
-14.001245,1600,617.83103
-10.951631,1600,618.496376
-14.413779,1600,619.504159
-14.135257,1600,620.496425
-14.4708,1600,621.461782
-13.517231,1600,622.48452
-14.361854,1600,623.179723
-15.398981,1600,624.189414
-25.508394,1600,625.144506
-15.069415,1600,626.109741
-22.636194,1600,626.769787
-15.130997,1600,627.76901
-19.285691,1600,628.76895
-24.862872,1600,629.74039
-38.811799,1600,630.64645
-14.532514,1600,631.329084
-43.442225,1600,632.28706
-14.581472,1600,633.29815
-73.667014,1600,634.204633
-13.964134,1600,634.87042
-46.373252,1600,635.82789
-16.864818,1600,636.847061
-9.378817,1600,637.835081
-40.965996,1600,638.786603
-43.680154,1600,639.417708
-7.530937,1600,640.432516
-14.943537,1600,641.42146
-22.729066,1600,642.38751
-10.513291,1600,643.020076
-14.604952,1600,644.0347
-40.516517,1600,644.988256
-12.399303,1600,645.981001
-10.136743,1600,646.933879
-30.545658,1600,647.580644
-21.547725,1600,648.587826
-33.906613,1600,650.132828
-10.928776,1600,651.179716
-24.187538,1600,652.212512
